Price,Ticker,mean_return,volatility,cumulative_return,sharpe_ratio,sortino_ratio,max_drawdown,var_95,beta,liquidity,hierarchical_cluster,gmm_cluster,dbscan_cluster
Close,ALLE,-0.46762436040752553,-0.5075884237432075,-0.2618938522246747,-0.09974667739078837,-0.32571065823022893,0.7825119023092184,0.521080351691214,-0.47212494965742574,-0.11541695415577424,3,6,0
Close,AMAT,-0.5353843678122027,-0.41668891676649156,0.4685400837654265,-1.4824241663401199,-1.0949638341519,0.25274866703613474,0.30457113722879686,-0.4874849778928475,-0.11541732760209059,3,5,0
Close,AMCR,-0.4768464986017238,-0.5007206751833008,-0.48178114420748014,-0.42827132509630994,-0.5663533841268511,0.6038771126720816,0.5311711194863336,-0.4750655933896206,-0.11542601872972473,3,6,0
Close,AMD,-0.5722673533715106,-0.41978353518183653,2.782902977379899,-2.028968320122126,-1.3946919471922337,-0.20668496092290045,0.3230107925431602,-0.47948853277249054,-0.11541927681718761,2,5,0
Close,AME,-0.46642326724886285,-0.4977025845675409,0.08237421040646617,-0.166242073380617,-0.45180278175276095,0.8061556625334585,0.5275543559072446,-0.4565341276262012,-0.1154158214161434,3,6,0
Close,AMGN,-0.49578704834455384,-0.4904979769580998,-0.14834039547263453,-0.9848942997965646,-0.8430437615924312,1.6019527065423667,0.5024610987937286,-0.46089217784940323,-0.1154068522931546,3,6,0
Close,AMP,-0.4438327527678162,-0.4902180058032293,0.4601156891205537,0.3790878960769788,-0.08423538449287735,0.30868605074170263,0.4887023984955558,-0.45156064287476266,-0.11540403815499857,0,2,0
Close,AMT,-0.4911348702492928,-0.48141951491921303,-0.32330739404741093,-0.8615705261629736,-0.78626653029483,0.6891999989662633,0.4790050645109611,-0.4754935170025411,-0.11540883414575724,3,6,0
Close,AMZN,-0.4605082230739807,-0.46902235900936107,0.5347369265054114,-0.18498219510686575,-0.4316597936161168,0.20791952362554825,0.4636118626434633,-0.4588353150650047,-0.11541466002925478,0,8,0
Close,ANET,-0.4313123283487501,-0.4210381912291646,2.1807671473660037,-0.08009726004332553,-0.4703578266619347,0.3836864486177262,0.38916682917883366,-0.4835824390360075,-0.11542377505342093,2,5,0
Close,ANSS,-0.47858710389529363,-0.487249146525916,-0.045307164597849156,-0.5134918464239314,-0.5835550282763793,0.4245318378551907,0.496490599671796,-0.47825494684724723,-0.11540108057396962,3,6,0
