Date,AAPL,ADBE,AMZN,GOOGL,META,MSFT,NFLX,NVDA,TSLA,^GSPC
2023-03-29,159.33987426757812,379.1600036621094,100.25,101.0237808227539,204.5685577392578,276.6720886230469,332.0299987792969,26.968963623046875,193.8800048828125,4027.81005859375
2023-03-30,160.9157257080078,381.8999938964844,102.0,100.52558898925781,207.04908752441406,280.1636657714844,338.42999267578125,27.36774444580078,195.27999877929688,4050.830078125
2023-03-31,163.43310546875,385.3699951171875,103.29000091552734,103.35533142089844,211.13348388671875,284.3554992675781,345.4800109863281,27.76152801513672,207.4600067138672,4109.31005859375
2023-04-03,164.69183349609375,380.0799865722656,102.41000366210938,103.9830551147461,212.2592010498047,283.3001708984375,348.2799987792969,27.949420928955078,194.77000427246094,4124.509765625
2023-04-04,164.1566162109375,385.1499938964844,103.94999694824219,104.34175872802734,213.9029083251953,283.2508239746094,346.75,27.43770408630371,192.5800018310547,4100.60009765625
2023-04-05,162.3032684326172,382.0199890136719,101.0999984741211,104.0926513671875,210.67523193359375,280.44964599609375,342.3500061035156,26.866025924682617,185.52000427246094,4090.3798828125
2023-04-06,163.1952667236328,380.6000061035156,102.05999755859375,108.02838897705078,215.2776336669922,287.6103515625,339.3299865722656,27.02193832397461,185.05999755859375,4105.02001953125
2023-04-10,160.5886688232422,376.25,102.16999816894531,106.0555419921875,213.93280029296875,285.4306335449219,338.989990234375,27.563636779785156,184.50999450683594,4109.10986328125
2023-04-11,159.36959838867188,371.1099853515625,99.91999816894531,104.96947479248047,213.03622436523438,278.9603576660156,338.2099914550781,27.153865814208984,186.7899932861328,4108.93994140625
2023-04-12,158.6758270263672,369.8900146484375,97.83000183105469,104.26204681396484,213.18563842773438,279.6113586425781,331.0299987792969,26.48023796081543,180.5399932861328,4091.949951171875
2023-04-13,164.08721923828125,378.79998779296875,102.4000015258789,107.04196166992188,219.511474609375,285.8744201660156,346.19000244140625,26.44825553894043,185.89999389648438,4146.22021484375
2023-04-14,163.74037170410156,379.3800048828125,102.51000213623047,108.47676849365234,220.6471405029297,282.22509765625,338.6300048828125,26.743091583251953,185.0,4137.64013671875
2023-04-17,163.7601776123047,377.9200134277344,102.73999786376953,105.58724212646484,218.0271453857422,284.84869384765625,332.7200012207031,26.98695945739746,187.0399932861328,4151.31982421875
2023-04-18,164.98915100097656,377.54998779296875,102.30000305175781,104.12255096435547,217.0608367919922,284.424560546875,333.70001220703125,27.651588439941406,184.30999755859375,4154.8701171875
2023-04-19,166.1388397216797,380.1099853515625,104.30000305175781,103.80370330810547,214.87916564941406,284.5034484863281,323.1199951171875,27.91543960571289,180.58999633789062,4154.52001953125
2023-04-20,165.16754150390625,380.260009765625,103.80999755859375,104.90969848632812,212.2592010498047,282.1954345703125,325.3500061035156,27.088899612426758,162.99000549316406,4129.7900390625
2023-04-21,163.55206298828125,377.6700134277344,106.95999908447266,105.02926635742188,212.07986450195312,281.8502502441406,327.9800109863281,27.10388946533203,165.0800018310547,4133.52001953125
2023-04-24,163.8592987060547,377.3399963378906,106.20999908447266,105.58724212646484,211.98023986816406,277.9148254394531,329.0199890136719,27.026935577392578,162.5500030517578,4137.0400390625
2023-04-25,162.31317138671875,369.5899963378906,102.56999969482422,103.47489166259766,206.7601776123047,271.6517333984375,322.54998779296875,26.22637939453125,160.6699981689453,4071.6298828125
2023-04-26,162.3032684326172,363.05999755859375,104.9800033569336,103.33539581298828,208.60316467285156,291.328857421875,321.1499938964844,26.940980911254883,153.75,4055.989990234375
2023-04-27,166.91189575195312,371.4200134277344,109.81999969482422,107.20137786865234,237.6521759033203,300.65936279296875,325.8500061035156,27.210832595825195,160.19000244140625,4135.35009765625
2023-04-28,168.17059326171875,377.55999755859375,105.44999694824219,106.9522933959961,239.40548706054688,303.05615234375,329.92999267578125,27.73354148864746,164.30999755859375,4169.47998046875
2023-05-01,168.08139038085938,374.1499938964844,102.05000305175781,106.81279754638672,242.2545928955078,301.3794250488281,324.1199951171875,28.89389419555664,161.8300018310547,4167.8701171875
2023-05-02,167.04075622558594,368.6600036621094,103.62999725341797,104.93958282470703,238.32960510253906,301.2314147949219,317.54998779296875,28.19428253173828,160.30999755859375,4119.580078125
2023-05-03,165.96046447753906,345.25,103.6500015258789,105.02926635742188,236.12802124023438,300.2352294921875,319.29998779296875,27.786510467529297,160.61000061035156,4090.75
2023-05-04,164.31520080566406,335.8299865722656,104.0,104.31185913085938,232.63136291503906,301.2314147949219,320.7799987792969,27.546642303466797,161.1999969482422,4061.219970703125
2023-05-05,172.02601623535156,348.3999938964844,105.66000366210938,105.18868255615234,231.89418029785156,306.39971923828125,322.760009765625,28.66402244567871,170.05999755859375,4136.25
2023-05-08,171.9566192626953,344.05999755859375,105.83000183105469,107.38072967529297,232.38230895996094,304.4270935058594,331.2099914550781,29.1347599029541,171.7899932861328,4138.1201171875
2023-05-09,170.24200439453125,342.6499938964844,106.62000274658203,106.96224975585938,232.48193359375,302.79962158203125,332.1400146484375,28.555082321166992,169.14999389648438,4119.169921875
2023-05-10,172.01609802246094,344.0199890136719,110.19000244140625,111.34636688232422,232.1930389404297,308.0369873046875,335.4200134277344,28.86890983581543,168.5399932861328,4137.64013671875
2023-05-11,172.20440673828125,341.5799865722656,112.18000030517578,116.1489486694336,234.89273071289062,305.8670654296875,344.760009765625,28.56207847595215,172.0800018310547,4130.6201171875
2023-05-12,171.27145385742188,335.45001220703125,110.26000213623047,117.08556365966797,232.9202423095703,304.74273681640625,339.8900146484375,28.32421112060547,167.97999572753906,4124.080078125
2023-05-15,170.77523803710938,345.6700134277344,111.19999694824219,116.08917236328125,237.9510498046875,305.2259521484375,335.8900146484375,28.936870574951172,166.35000610351562,4136.27978515625
2023-05-16,170.77523803710938,345.1099853515625,113.4000015258789,119.07833099365234,237.91119384765625,307.4748229980469,333.75,29.196725845336914,166.52000427246094,4109.89990234375
2023-05-17,171.39056396484375,356.6300048828125,115.5,120.40352630615234,241.56723022460938,310.38092041015625,339.9599914550781,30.16118812561035,173.86000061035156,4158.77001953125
2023-05-18,173.73281860351562,360.42999267578125,118.1500015258789,122.38633728027344,245.91065979003906,314.84881591796875,371.2900085449219,31.660350799560547,176.88999938964844,4198.0498046875
2023-05-19,173.84197998046875,371.25,116.25,122.31659698486328,244.70523071289062,314.6709289550781,365.3599853515625,31.24658203125,180.13999938964844,4191.97998046875
2023-05-22,172.88919067382812,372.04998779296875,115.01000213623047,124.59832000732422,247.3750457763672,317.47821044921875,363.010009765625,31.15863037109375,188.8699951171875,4192.6298828125
2023-05-23,170.26907348632812,370.4200134277344,114.98999786376953,122.11731719970703,245.80105590820312,311.62640380859375,355.989990234375,30.670902252197266,185.77000427246094,4145.580078125
2023-05-24,170.5469512939453,365.760009765625,116.75,120.46331024169922,248.2616729736328,310.2326354980469,364.8500061035156,30.52098846435547,182.89999389648438,4115.240234375
2023-05-25,171.68829345703125,392.05999755859375,115.0,123.03399658203125,251.72840881347656,322.16357421875,359.0,37.958839416503906,184.47000122070312,4151.27978515625
2023-05-26,174.1099395751953,415.3900146484375,120.11000061035156,124.159912109375,261.0428161621094,329.05322265625,378.8800048828125,38.9243049621582,193.1699981689453,4205.4501953125
2023-05-30,175.9658660888672,417.2099914550781,121.66000366210938,123.22330474853516,261.5210266113281,327.3925476074219,392.9800109863281,40.08865737915039,201.16000366210938,4205.52001953125
2023-05-31,175.916259765625,417.7900085449219,120.58000183105469,122.42619323730469,263.7126159667969,324.6050720214844,395.2300109863281,37.812923431396484,203.92999267578125,4179.830078125
2023-06-01,178.73486328125,426.75,122.7699966430664,123.27312469482422,271.5726013183594,328.7467041015625,403.1300048828125,39.74784851074219,207.52000427246094,4221.02001953125
2023-06-02,179.58840942382812,436.3699951171875,124.25,124.21968841552734,271.5726013183594,331.5343017578125,400.4700012207031,39.30508804321289,213.97000122070312,4282.3701171875
2023-06-05,178.22872924804688,434.17999267578125,125.30000305175781,125.55485534667969,270.35723876953125,332.06805419921875,403.5400085449219,39.14917755126953,217.61000061035156,4273.7900390625
2023-06-06,177.86154174804688,432.8900146484375,126.61000061035156,126.85015869140625,270.0882873535156,329.8341064453125,399.2900085449219,38.63246536254883,221.30999755859375,4283.85009765625
2023-06-07,176.4819793701172,418.32000732421875,121.2300033569336,122.05753326416016,262.5968933105469,319.6528015136719,399.7699890136719,37.45799255371094,224.57000732421875,4267.52001953125
2023-06-08,179.21127319335938,439.0299987792969,124.25,121.69883728027344,263.5731506347656,321.5111083984375,409.3699951171875,38.49252700805664,234.86000061035156,4293.93017578125
2023-06-09,179.59835815429688,454.0,123.43000030517578,121.78850555419922,263.9417724609375,323.0235290527344,420.0199890136719,38.752410888671875,244.39999389648438,4298.85986328125
2023-06-12,182.4070587158203,474.6300048828125,126.56999969482422,123.19341278076172,270.0185241699219,328.02520751953125,423.9700012207031,39.46408462524414,249.8300018310547,4338.93017578125
2023-06-13,181.93064880371094,478.989990234375,126.66000366210938,123.38272857666016,270.28753662109375,330.4371032714844,435.7300109863281,41.00339126586914,258.7099914550781,4369.009765625
2023-06-14,182.5658416748047,479.5299987792969,126.41999816894531,123.22330474853516,272.3097839355469,333.451904296875,440.8599853515625,42.97748947143555,256.7900085449219,4372.58984375
2023-06-15,184.61033630371094,490.9100036621094,127.11000061035156,124.63816833496094,280.7575378417969,344.087890625,445.2699890136719,42.63365173339844,255.89999389648438,4425.83984375
2023-06-16,183.52853393554688,495.17999267578125,125.48999786376953,123.08380126953125,279.93072509765625,338.3843688964844,431.9599914550781,42.672630310058594,260.5400085449219,4409.58984375
2023-06-20,183.61785888671875,485.8599853515625,125.77999877929688,122.65536499023438,283.2480163574219,334.1537170410156,434.70001220703125,43.788124084472656,274.45001220703125,4388.7099609375
2023-06-21,182.5757598876953,477.4800109863281,124.83000183105469,120.11457824707031,280.56829833984375,329.7154846191406,424.45001220703125,43.02547073364258,259.4599914550781,4365.68994140625
